"","rcid","session","date","unres","me","nu","di","hr","co","ec"
"1",46,2,1947-09-04,"R/2/299",0,0,0,0,0,0
"2",47,2,1947-10-05,"R/2/355",0,0,0,1,0,0
"3",48,2,1947-10-06,"R/2/461",0,0,0,0,0,0
"4",49,2,1947-10-06,"R/2/463",0,0,0,0,0,0
"5",50,2,1947-10-06,"R/2/465",0,0,0,0,0,0
"6",51,2,1947-10-02,"R/2/561",0,0,0,0,1,0
"7",52,2,1947-11-06,"R/2/650",0,0,0,0,1,0
"8",53,2,1947-11-06,"R/2/651",0,0,0,0,1,0
"9",54,2,1947-11-06,"R/2/651",0,0,0,0,1,0
"10",55,2,1947-11-06,"R/2/667",0,0,0,0,1,0
"11",56,2,1947-11-01,"R/2/719",0,0,0,0,1,0
"12",57,2,1947-11-01,"R/2/743",0,0,0,0,1,0
"13",58,2,1947-11-01,"R/2/744",0,0,0,0,1,0
"14",59,2,1947-11-05,"R/2/858",0,0,0,0,1,0
"15",60,2,1947-11-06,"R/2/940A",0,0,0,0,0,0
"16",61,2,1947-11-06,"R/2/940B",0,0,0,0,0,0
"17",62,2,1947-11-01,"R/2/1078A",0,0,0,0,0,0
"18",63,2,1947-11-01,"R/2/1078B",0,0,0,0,0,0
"19",64,2,1947-11-01,"R/2/1079A",0,0,0,0,0,0
"20",65,2,1947-11-01,"R/2/1079B",0,0,0,0,0,0
"21",66,2,1947-11-01,"R/2/1079C",0,0,0,0,0,0
"22",67,2,1947-11-01,"R/2/1080",0,0,0,0,0,0
"23",68,2,1947-11-01,"R/2/1095A",0,0,0,0,0,0
"24",69,2,1947-11-01,"R/2/1095B",0,0,0,0,0,0
"25",70,2,1947-11-01,"R/2/1096",0,0,0,0,0,0
"26",71,2,1947-11-04,"R/2/1169",0,0,0,0,0,0
"27",72,2,1947-11-04,"R/2/1170",0,0,0,0,0,0
"28",73,2,1947-11-04,"R/2/1214",0,0,0,0,0,0
"29",74,2,1947-11-05,"R/2/1305",0,0,0,1,0,0
"30",75,2,1947-11-05,"R/2/1306A",0,0,0,1,0,0
"31",76,2,1947-11-05,"R/2/1306B",0,0,0,1,0,0
"32",77,2,1947-11-06,"R/2/1424",1,0,0,0,0,1
"33",175,4,1949-10-04,"R/4/117",0,0,0,0,0,0
"34",176,4,1949-10-06,"R/4/150",0,0,0,1,0,0
"35",177,4,1949-10-06,"R/4/165",0,0,0,0,0,0
"36",178,4,1949-11-05,"R/4/188A",0,0,0,0,1,0
"37",179,4,1949-11-05,"R/4/188B",0,0,0,0,1,0
"38",180,4,1949-11-05,"R/4/189A",0,0,0,0,1,0
"39",181,4,1949-11-05,"R/4/189B",0,0,0,0,1,0
"40",182,4,1949-11-06,"R/4/211",0,0,0,0,0,1
"41",183,4,1949-11-06,"R/4/212",0,0,0,0,0,0
"42",184,4,1949-11-01,"R/4/264A",0,0,0,0,0,0
"43",185,4,1949-11-01,"R/4/264B",0,0,0,0,0,0
"44",186,4,1949-11-01,"R/4/264C",0,0,0,0,0,0
"45",187,4,1949-11-01,"R/4/264D",0,0,0,0,0,0
"46",188,4,1949-11-01,"R/4/264E",0,0,0,0,0,0
"47",189,4,1949-11-01,"R/4/264F",0,0,0,0,0,0
"48",190,4,1949-11-01,"R/4/265",0,0,0,0,0,0
"49",191,4,1949-11-04,"R/4/301A",0,0,0,0,1,0
"50",192,4,1949-11-04,"R/4/301B",0,0,0,0,1,0
"51",193,4,1949-11-04,"R/4/302A",0,0,0,0,1,0
"52",194,4,1949-11-04,"R/4/302B",0,0,0,0,1,0
"53",195,4,1949-11-04,"R/4/302C",0,0,0,0,1,0
"54",196,4,1949-11-04,"R/4/302D",0,0,0,0,1,0
"55",197,4,1949-11-04,"R/4/302",0,0,0,0,1,0
"56",198,4,1949-11-06,"R/4/358A",0,1,1,0,0,0
"57",199,4,1949-11-06,"R/4/358B",0,1,1,0,0,0
"58",200,4,1949-11-06,"R/4/358C",0,1,1,0,0,0
"59",201,4,1949-11-01,"R/4/383A",0,0,0,0,0,1
"60",202,4,1949-11-01,"R/4/383B",0,0,0,0,0,1
"61",203,4,1949-11-01,"R/4/383C",0,0,0,0,0,1
"62",204,4,1949-11-01,"R/4/383D",0,0,0,0,0,1
"63",205,4,1949-11-01,"R/4/383E",0,0,0,0,0,0
"64",206,4,1949-11-01,"R/4/383F",0,0,0,0,0,1
"65",207,4,1949-11-01,"R/4/384A",0,0,0,0,0,1
"66",208,4,1949-11-01,"R/4/384B",0,0,0,0,0,0
"67",209,4,1949-11-01,"R/4/384C",0,0,1,0,0,0
"68",210,4,1949-11-01,"R/4/384D",0,0,0,0,0,1
"69",211,4,1949-11-01,"R/4/384E",0,0,0,0,0,1
"70",212,4,1949-11-01,"R/4/384F",0,0,0,0,0,1
"71",213,4,1949-11-01,"R/4/385",0,0,0,0,0,1
"72",214,4,1949-12-03,"R/4/461",0,0,0,0,1,0
"73",215,4,1949-12-03,"R/4/471A",0,0,0,1,1,0
"74",216,4,1949-12-03,"R/4/471B",0,0,0,1,1,0
"75",217,4,1949-12-03,"R/4/371C",0,0,0,0,0,0
"76",218,4,1949-12-07,"R/4/535A",0,0,0,0,1,0
"77",219,4,1949-12-07,"R/4/535B",0,0,0,0,1,0
"78",220,4,1949-12-07,"R/4/535C",0,0,0,0,1,0
"79",221,4,1949-12-07,"R/4/536A",0,0,0,0,1,0
"80",222,4,1949-12-07,"R/4/536B",0,0,0,0,1,0
"81",223,4,1949-12-07,"R/4/536C",0,0,0,0,1,0
"82",224,4,1949-12-07,"R/4/537",0,0,0,0,1,0
"83",225,4,1949-12-02,"R/4/570",0,0,0,0,0,0
"84",226,4,1949-12-02,"R/4/571",0,0,0,0,0,0
"85",227,4,1949-12-03,"R/4/605A",1,0,0,0,0,0
"86",228,4,1949-12-03,"R/4/605B",1,0,0,0,0,0
"87",229,4,1949-12-03,"R/4/606A",1,0,0,0,0,0
"88",230,4,1949-12-03,"R/4/606B",1,0,0,0,0,0
"89",231,4,1949-12-03,"R/4/606C",1,0,0,0,0,0
"90",232,4,1949-12-03,"R/4/606D",1,0,0,0,0,0
"91",233,4,1949-12-03,"R/4/606E",1,0,0,0,0,0
"92",234,4,1949-12-03,"R/4/607A",1,0,0,0,0,0
"93",235,4,1949-12-03,"R/4/607",1,0,0,0,0,0
"94",236,4,1949-12-03,"R/4/607C",1,0,0,0,0,0
"95",237,4,1949-12-03,"R/4/607D",1,0,0,0,0,0
"96",238,4,1949-12-03,"R/4/613",0,0,0,0,1,0
"97",292,6,1951-12-05,"R/6/229",0,0,0,0,0,0
"98",293,6,1951-12-04,"R/6/265",0,0,0,0,0,0
"99",294,6,1951-12-04,"R/6/239",0,0,0,0,0,0
"100",295,6,1951-12-04,"R/6/287",0,0,0,0,0,0
"101",296,6,1952-01-01,"R/6/313",0,0,0,0,0,0
"102",297,6,1952-01-02,"R/6/326A",0,0,0,0,0,0
"103",298,6,1952-01-02,"R/6/326B",0,0,0,0,0,0
"104",299,6,1952-01-02,"R/6/330",0,0,0,0,0,0
"105",300,6,1952-01-02,"R/6/338",0,0,0,0,0,1
"106",301,6,1952-01-01,"R/6/348",0,0,0,0,1,0
"107",302,6,1952-01-01,"R/6/349A",0,0,0,0,1,0
"108",303,6,1952-01-01,"R/6/349B",0,0,0,0,1,0
"109",304,6,1952-01-01,"R/6/354",0,0,0,0,1,0
"110",305,6,1952-01-02,"R/6/370",0,0,0,0,1,0
"111",306,6,1952-01-02,"R/6/375A",0,0,0,0,1,0
"112",307,6,1952-01-02,"R/6/375B",0,0,0,0,1,0
"113",308,6,1952-01-07,"R/6444A",0,0,0,0,0,0
"114",309,6,1952-01-07,"R/6/444B",0,0,0,0,0,0
"115",310,6,1952-02-04,"R/6/455",0,0,0,0,0,0
"116",311,6,1952-02-04,"R/6/469",0,0,0,0,0,0
"117",312,6,1952-02-07,"R/6/492A",0,0,0,1,0,0
"118",313,6,1952-02-07,"R/6/492B",0,0,0,1,0,0
"119",314,6,1952-02-01,"R/6/518",0,0,0,1,0,0
"120",315,6,1952-02-01,"R/6/519",0,0,0,1,0,0
"121",316,6,1952-02-01,"R/6/523",0,0,0,0,0,0
"122",366,8,1953-09-07,"R/8/28",0,0,0,1,0,0
"123",367,8,1953-10-03,"R/8/255",0,0,0,1,0,0
"124",368,8,1953-10-03,"R/8/257",0,0,0,1,0,0
"125",369,8,1953-11-03,"R/8/265",0,0,0,0,1,0
"126",370,8,1953-11-03,"R/8/266A",0,0,0,0,1,0
"127",371,8,1953-11-03,"R/8/266B",0,0,0,0,1,0
"128",372,8,1953-11-03,"R/8/266C",0,0,0,0,1,0
"129",373,8,1953-11-03,"R/8/266D",0,0,0,0,1,0
"130",374,8,1953-11-03,"R/8/266E",0,0,0,0,1,0
"131",375,8,1953-11-04,"R/8/288",0,0,0,1,0,0
"132",376,8,1953-11-04,"R/8/293A",0,0,0,0,1,0
"133",377,8,1953-11-04,"R/8/293B",0,0,0,0,1,0
"134",378,8,1953-11-06,"R/8/316",0,0,0,0,1,0
"135",379,8,1953-11-06,"R/8/319",0,0,0,0,1,0
"136",380,8,1953-11-06,"R/8/320",0,0,0,0,0,0
"137",381,8,1953-11-07,"R/8/324A",0,0,0,0,1,0
"138",382,8,1953-11-07,"R/8/324B",0,0,0,0,1,0
"139",383,8,1953-11-07,"R/8/325A",0,0,0,0,1,0
"140",384,8,1953-11-07,"R/8/325B",0,0,0,0,1,0
"141",385,8,1953-12-07,"R/8/417",0,0,0,0,0,0
"142",386,8,1953-12-04,"R/8/425",0,0,0,0,0,0
"143",387,8,1953-12-05,"R/8/436",0,0,0,1,0,0
"144",388,8,1953-12-05,"R/8/437A",0,0,0,1,0,0
"145",389,8,1953-12-05,"R/8/437B",0,0,0,1,0,0
"146",390,8,1953-12-06,"R/8/455",0,0,0,0,1,0
"147",391,8,1953-12-06,"R/8/461",0,0,0,0,0,0
"148",423,10,1955-09-07,"R/10/9",0,0,0,0,0,0
"149",424,10,1955-09-03,"R/10 65",0,0,0,0,1,0
"150",425,10,1955-09-03,"R/10/196",0,0,0,0,1,0
"151",426,10,1955-10-01,"R/10/229",0,0,0,0,1,0
"152",427,10,1955-10-03,"R/10/256",0,0,0,0,0,0
"153",428,10,1955-10-03,"R/10/257",0,0,0,0,0,0
"154",429,10,1955-10-03,"R/10/258",0,0,0,0,1,1
"155",430,10,1955-10-03,"R/10/259",0,0,0,0,1,1
"156",431,10,1955-11-05,"R/10/288",0,0,0,0,0,0
"157",432,10,1955-11-05,"R/10/291A",0,0,0,0,0,0
"158",433,10,1955-11-05,"R/10/291B",0,0,0,0,0,0
"159",434,10,1955-11-04,"R/10/369",0,0,0,0,0,0
"160",435,10,1955-11-04,"R/10/370",0,0,0,0,0,0
"161",436,10,1955-12-07,"R/10/404",0,0,0,1,0,0
"162",437,10,1955-12-02,"R/10/420",0,0,0,0,0,0
"163",438,10,1955-12-01,"R/10/433A",0,0,0,0,0,0
"164",439,10,1955-12-01,"R/10/433B",0,0,0,0,0,0
"165",440,10,1955-12-01,"R/10/433C",0,0,0,0,0,0
"166",441,10,1955-12-01,"R/10/434A",0,0,0,0,0,0
"167",442,10,1955-12-01,"R/10/434B",0,0,0,0,0,0
"168",443,10,1955-12-01,"R/10/434C",0,0,0,0,0,0
"169",444,10,1955-12-01,"R/10/434D",0,0,0,0,0,0
"170",445,10,1955-12-01,"R/10/434E",0,0,0,0,0,0
"171",446,10,1955-12-01,"R/10/435A",0,0,0,0,0,0
"172",447,10,1955-12-01,"R/10/435B",0,0,0,0,0,0
"173",448,10,1955-12-01,"R/10/435C",0,0,0,0,0,0
"174",449,10,1955-12-01,"R/10/435D",0,0,0,0,0,0
"175",450,10,1955-12-01,"R/10/435E",0,0,0,0,0,0
"176",451,10,1955-12-01,"R/10/436A",0,0,0,0,0,0
"177",452,10,1955-12-01,"R/10/436B",0,0,0,0,0,0
"178",453,10,1955-12-01,"R/10/436C",0,0,0,0,0,0
"179",454,10,1955-12-02,"R/10/461A",0,0,0,0,1,0
"180",455,10,1955-12-02,"R/10/461B",0,0,0,0,0,0
"181",456,10,1955-12-02,"R/10/462",0,0,0,0,0,0
"182",457,10,1955-12-02,"R/10/464A",0,0,0,0,1,0
"183",458,10,1955-12-02,"R/10/465",0,0,0,0,0,0
"184",459,10,1955-12-02,"R/10/465",0,0,0,0,0,0
"185",506,12,1957-09-06,"R/12/52",0,0,0,1,0,0
"186",507,12,1957-09-06,"R/12/55",0,0,0,0,0,0
"187",508,12,1957-09-06,"R/12/59",0,0,0,0,1,0
"188",509,12,1957-09-03,"R/12/129",0,0,0,0,0,0
"189",510,12,1957-09-03,"R/12/130A",0,0,0,0,0,0
"190",511,12,1957-09-03,"R/12/130B",0,0,0,0,0,0
"191",512,12,1957-09-03,"R/12/130C",0,0,0,0,0,0
"192",513,12,1957-10-05,"R/12/363",0,0,0,0,0,0
